2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:23,912 - Process with PID: 1585, Parent PID: 1, Name: Dock, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1586, Parent PID: 1, Name: SystemUIServer, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1587, Parent PID: 1, Name: Finder, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1590, Parent PID: 1, Name: Spotlight, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1592, Parent PID: 1, Name: automountd, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1593, Parent PID: 1, Name: AMPDeviceDiscoveryAgent, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1594, Parent PID: 1, Name: ctkahp, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1598, Parent PID: 1, Name: ctkahp, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1601, Parent PID: 1, Name: commerce, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1608, Parent PID: 1, Name: mdbulkimport, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1613, Parent PID: 1, Name: corespeechd, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1620, Parent PID: 1, Name: imklaunchagent, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1623, Parent PID: 1, Name: icdd, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1627, Parent PID: 1, Name: Adobe Genuine Software Monitor Service, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1628, Parent PID: 1, Name: AirPlayUIAgent, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1629, Parent PID: 1, Name: imagent, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1632, Parent PID: 1, Name: diagnostics_agent, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1634, Parent PID: 1, Name: TextInputMenuAgent, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1656, Parent PID: 1, Name: useractivityd, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1657, Parent PID: 1, Name: com.apple.dock.extra, Status: running
2023-10-28 21:11:23,913 - Process with PID: 1674, Parent PID: 1, Name: mediaremoteagent, Status: running
2023-10-28 21:11:23,914 - Process with PID: 1677, Parent PID: 1, Name: avconferenced, Status: running
2023-10-28 21:11:23,914 - Process with PID: 1681, Parent PID: 1, Name: com.apple.appkit.xpc.openAndSavePanelService, Status: running
2023-10-28 21:11:23,914 - Process with PID: 1682, Parent PID: 1, Name: QuickLookUIService, Status: running
2023-10-28 21:11:23,914 - Process with PID: 1747, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1785, Parent PID: 1, Name: EmojiFunctionRowIM_Extension, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1787, Parent PID: 1, Name: PAH_Extension, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1841, Parent PID: 1, Name: CVMServer, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1862, Parent PID: 1, Name: fairplayd, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1896, Parent PID: 1, Name: storedownloadd, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1897, Parent PID: 1, Name: com.apple.FaceTime.FTConversationService, Status: running
2023-10-28 21:11:23,915 - Process with PID: 1957, Parent PID: 1, Name: replayd, Status: running
2023-10-28 21:11:23,915 - Process with PID: 2039, Parent PID: 1, Name: Adobe Crash Processor, Status: running
2023-10-28 21:11:23,915 - Process with PID: 2056, Parent PID: 1, Name: itunescloudd, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2124, Parent PID: 1, Name: AssetCache, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2154, Parent PID: 1, Name: Discord, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2156, Parent PID: 1, Name: chrome_crashpad_handler, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2157, Parent PID: 2154, Name: Discord Helper (GPU), Status: running
2023-10-28 21:11:23,916 - Process with PID: 2159, Parent PID: 2154, Name: Discord Helper, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2163, Parent PID: 2154, Name: Discord Helper (Renderer), Status: running
2023-10-28 21:11:23,916 - Process with PID: 2167, Parent PID: 2154, Name: Discord Helper, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2191, Parent PID: 1, Name: spindump, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2193, Parent PID: 1, Name: betaenrollmentd, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2194, Parent PID: 1, Name: ASPCarryLog, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2195, Parent PID: 1, Name: deleted_helper, Status: running
2023-10-28 21:11:23,916 - Process with PID: 2196, Parent PID: 1, Name: softwareupdated, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2197, Parent PID: 1, Name: com.apple.Mobile, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2199, Parent PID: 1, Name: triald, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2200, Parent PID: 1, Name: cloudd, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2201, Parent PID: 1, Name: system_installd, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2202, Parent PID: 1, Name: installd, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2219, Parent PID: 1, Name: systemsoundserve, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2220, Parent PID: 1, Name: AudioComponentRe, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2221, Parent PID: 1, Name: com.apple.audio., Status: running
2023-10-28 21:11:23,917 - Process with PID: 2227, Parent PID: 1, Name: PasswordBreachAgent, Status: running
2023-10-28 21:11:23,917 - Process with PID: 2229, Parent PID: 1, Name: com.apple.accessibility.mediaaccessibilityd, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2235, Parent PID: 1, Name: AppleSpell, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2236, Parent PID: 1, Name: PlugInLibraryService, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2237, Parent PID: 83400, Name: Code Helper (Renderer), Status: running
2023-10-28 21:11:23,918 - Process with PID: 2238, Parent PID: 83400, Name: Code Helper, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2239, Parent PID: 83447, Name: Code Helper (Renderer), Status: running
2023-10-28 21:11:23,918 - Process with PID: 2245, Parent PID: 83449, Name: zsh, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2295, Parent PID: 2238, Name: Python, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2315, Parent PID: 2295, Name: Python, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2327, Parent PID: 1, Name: com.apple.Safari.History, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2334, Parent PID: 2238, Name: Code Helper, Status: running
